Product_Name,Clause_Name,Chapter,Article,Subsection,Full_Content,Page
direct_woman3.0_03,보통약관,제1관. 목적 및 용어의 정의,empty,empty,empty,57
direct_woman3.0_03,보통약관,제1관. 목적 및 용어의 정의,제1조(목적),empty,이 보험계약(이하 “계약”이라 합니다)은 보험계약자(이하 “계약자”라 합니다)와 보험회사(이하 “회사”라 합 니다) 사이에 계약에서 정한 피보험자의 위험을 보장하기 위하여 체결됩니다. ,57
direct_woman3.0_03,보통약관,제1관. 목적 및 용어의 정의,제2조(용어의 정의),empty,"이 약관에서 사용되는 용어의 정의는, 이 계약의 다른 조항에서 달리 정의되지 않는 한 다음과 같습니다. 계약관계 관련 용어 <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>계약자</td>     <td>회사와 계약을 체결하고 보험료를 납입할 의무를 지는 사람을 말합니다.</td>   </tr>   <tr>     <td>피보험자</td>     <td>보험사고의 대상이 되는 사람을 말합니다.</td>   </tr>   <tr>     <td>보험수익자</td>     <td>보험금 지급사유가 발생하는 때에 회사에 보험금 및 만기환급금을 청구하여 받을 수<br>있는 사람을 말합니다.</td>   </tr>   <tr>     <td>보험증권</td>     <td>계약의 성립과 그 내용을 증명하기 위하여 회사가 계약자에게 드리는 증서를 말합니<br>다.</td>   </tr>   <tr>     <td>진단계약</td>     <td>계약을 체결하기 위하여 피보험자가 건강진단을 받아야 하는 계약을 말합니다.</td>   </tr>   <tr>     <td>보험약관</td>     <td>계약에 관하여 계약자와 회사 상호간에 이행하여야 할 권리와 의무를 규정한 것을 말<br>합니다.</td>   </tr>   <tr>     <td>보험가입금액</td>     <td>보험금, 보험료 및 계약자적립액 등을 산정하는 기준이 되는 금액을 말합니다.</td>   </tr> </table> 지급사유 관련 용어 <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>상해</td>     <td>보험기간 중에 발생한 급격하고도 우연한 외래의 사고로 신체(의수, 의족, 의안, 의치<br>등 신체보조장구는 제외하나, 인공장기나 부분 의치 등 신체에 이식되어 그 기능을 대<br>신할 경우는 포함합니다)에 입은 손해를 말합니다.</td>   </tr>   <tr>     <td>장해</td>     <td>장해분류표(【별표1】 참조)에서 정한 기준에 따른 장해상태를 말합니다.</td>   </tr>   <tr>     <td>보험금</td>     <td>보험금 지급사유가 발생하였을 때 회사가 보험수익자 또는 피보험자에게 지급하는 금<br>액을 말합니다.</td>   </tr>   <tr>     <td>중요한 사항</td>     <td>계약 전 알릴 의무와 관련하여 회사가 그 사실을 알았더라면 계약의 청약을 거절하거<br>나 보험가입금액 한도 제한, 일부 보장 제외, 보험금 삭감, 보험료 할증과 같이 조건부<br>로 승낙하는 등 계약 승낙에 영향을 미칠 수 있는 사항을 말합니다.</td>   </tr>   <tr>     <td></td>     <td>이 약관에서 한국표준질병·사인분류는 제8차 개정(통계청 고시 제2020-175호,<br>2021.1.1. 시행)을 따릅니다.<br>이후 한국표준질병·사인분류가 개정되는 경우에는 피보험자가 진단된 당시 시행되고<br>있는 한국표준질병·사인분류에 따라 판단합니다.</td>   </tr>   <tr>     <td>한국표준질병<br>·사인분류</td>     <td>진단 당시의 한국표준질병·사인분류에 따라 해당 보장의 약관상 정의된 질병(또는 상<br>병)의 해당 여부가 판단된 경우, 이후 한국표준질병·사인분류 개정으로 질병분류(또는<br>상병분류)가 변경되더라도 그 질병(또는 상병)의 해당 여부를 다시 판단하지 않습니다.<br>또한, 대상질병(또는 대상상병) 분류표의 분류번호와 상당한 연관성이 있어, 분류번호<br>를 동시에 부여 가능한 경우 대상질병(또는 대상상병) 분류에 포함합니다.(단, 해당 약<br>관 상에 별도의 규정이 있는 경우 해당 조항을 우선 적용합니다)</td>   </tr> </table>  지급금과 이자율 관련 용어 <table>   <tr>     <td>용어</td>     <td colspan=""3"" >정의</td>   </tr>   <tr>     <td rowspan=""2"" >연단위 복리</td>     <td colspan=""3"" >회사가 지급할 금전에 이자를 줄 때 1년마다 마지막 날에 그 이자를 원금에 더한 금<br>액을 다음 1년의 원금으로 하는 이자 계산방법을 말합니다.</td>   </tr>   <tr>     <td></td>     <td>[연단위 복리 예시]<br>원금 100원, 연간 10% 이자율 적용시 연단위 복리로 계산한 2년 시점의 총 이자<br>금액[add_equation]4[/add_equation][add_equation]3[/add_equation][add_equation]5[/add_equation]</td>     <td></td>   </tr>   <tr>     <td rowspan=""2"" >평균공시이율</td>     <td colspan=""3"" >전체 보험회사 공시이율의 평균으로, 이 계약 체결 시점의 이율을 말합니다.</td>   </tr>   <tr>     <td></td>     <td>[평균공시이율]<br>「보험업감독규정」 제1-2조(정의) 제13호에서 정하고, 「보험업감독업무시행세칙」<br>제4-4조(평균공시이율)의 기준에 따라 산출된 값을 적용합니다. 이 평균공시이율은<br>금융감독원 홈페이지(www.fss.or.kr)의 「업무자료」 내 「보험상품자료」에서 확인할<br>수 있습니다.(관련법령 【부록】 참조)</td>     <td></td>   </tr>   <tr>     <td>보장부분<br>적용이율</td>     <td colspan=""3"" >보장보험료를 산출할 때 적용하는 이율을 말합니다.</td>   </tr>   <tr>     <td rowspan=""2"" >해약환급금</td>     <td colspan=""3"" >계약이 해지되는 때에 회사가 계약자에게 돌려주는 금액을 말합니다.</td>   </tr>   <tr>     <td colspan=""2"" >[해지]<br>현재 유지되고 있는 계약 또는 효력이 상실된 계약을 장래를 향하여 소멸시키거나<br>계약유지 의사를 포기하여 보험기간 종료일 이전에 계약관계를 청산하는 것을 말합<br>니다.</td>     <td></td>   </tr>   <tr>     <td>보험계약대출</td>     <td colspan=""3"" >계약자가 체결한 계약의 해약환급금 범위 내에서 회사가 정한 방법에 따라 받은 대출<br>을 말합니다.</td>   </tr>   <tr>     <td>보험계약대출<br>이율</td>     <td colspan=""3"" >보험계약대출에 적용되는 이율로써 회사에서 별도로 정한 방법에 따라 결정됩니다.</td>   </tr> </table> 기간과 날짜 관련 용어 ∙ 1년차 이자 = 100원 × 10% = 10원 원금 ∙ 2년차 이자 = ( 100원 + 10원 ) × 10% = 11원 원금 1년치 이자 → 2년 시점의 총 이자금액 = 10원 + 11원 = 21원 <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>보험기간</td>     <td>계약에 따라 보장을 받는 기간을 말합니다.</td>   </tr>   <tr>     <td rowspan=""2"" >영업일</td>     <td>회사가 영업점에서 정상적으로 영업하는 날을 말하며, 다음에 해당하는 경우는 제외합<br>니다.(관련법령 【부록】 참조)</td>   </tr>   <tr>     <td>1. 토요일<br>2. 「관공서의 공휴일에 관한 규정」에 따른 공휴일 및 대체공휴일<br>3. 「근로자의 날 제정에 관한 법률」에 따른 근로자의 날</td>   </tr>   <tr>     <td rowspan=""2"" >보장개시일</td>     <td rowspan=""2"" >회사가 보장을 개시하는 날로서 계약이 성립되고 제1회 보험료를 받은 날을 말하나,<br>회사가 승낙하기 전이라도 청약과 함께 제1회 보험료를 받은 경우에는 제1회 보험료<br>를 받은 날을 말합니다. 또한 보장개시일을 계약일로 봅니다.</td>   </tr>   <tr>   </tr>   <tr>     <td>계약일</td>     <td>계약자와 회사가 계약을 체결한 날을 말합니다.</td>   </tr>   <tr>     <td>보험년도</td>     <td>당해연도 계약해당일부터 차년도 계약해당일 전일까지 매 1년 단위의 연도를 말합니<br>다. 예를 들어 계약일이 2024년 1월 10일인 경우 보험년도는 1월 10일부터 차년도<br>1월 9일까지 1년입니다.</td>   </tr> </table>  <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>계약해당일</td>     <td>계약일과 동일한 월, 일을 말합니다. 다만, 해당 월의 계약해당일이 없는 경우에는 해<br>당 월의 마지막 날을 계약해당일로 합니다.</td>   </tr> </table> 보험료 관련 용어 <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>보험료</td>     <td>계약자가 계약에 따라 회사에 지급하여야 하는 금액을 말합니다.</td>   </tr>   <tr>     <td>보장보험료</td>     <td>위험을 보장하기 위해 필요한 보험료를 말합니다.</td>   </tr>   <tr>     <td>보장부분<br>순보험료</td>     <td>보장보험료에서 보장부분에 해당하는 부가보험료를 제외한 보험료를 말합니다.</td>   </tr>   <tr>     <td>부가보험료</td>     <td>회사 운영에 필요한 사업경비로 사용되는 보험료를 말하며, 계약체결비용 및 계약관리<br>비용과 보험금 지급조사를 위한 손해조사비로 구분됩니다.</td>   </tr>   <tr>     <td></td>     <td></td>   </tr> </table> 보장보험료 = 보장부분 순보험료 + 부가보험료 기타 관련 용어 <table>   <tr>     <td>용어</td>     <td>정의</td>   </tr>   <tr>     <td>순수보장성<br>보험</td>     <td>계약의 보험기간이 끝난 때에 지급되는 보험금(만기환급금)이 전혀 없는 보장성보험을<br>말합니다.</td>   </tr> </table>",57
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,empty,empty,empty,59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제3조(보험금의 지급사유),empty,제2절. 보장조항 제4조(보험금의 지급사유)를 따릅니다. ,59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제4조(보험금 지급에 관한 세부규정),empty,제2절. 보장조항 제5조(보험금 지급에 관한 세부규정)를 따릅니다. ,59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제5조(보험금 지급사유의 통지),empty,"계약자, 피보험자 또는 보험수익자는 제3조(보험금의 지급사유)에서 정한 보험금 지급사유의 발생을 안 때 에는 지체없이 그 사실을 회사에 알려야 합니다. ",59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제6조(보험금의 청구),empty,"보험수익자는 보험금을 청구할 때 다음의 서류를 제출하여야 합니다. 1. 청구서(회사 양식) 2. 사고증명서(진료비계산서, 사망진단서, 장해진단서, 입원치료확인서, 의사처방전(처방조제비) 등) 3. 신분증(주민등록증이나 운전면허증 등 사진이 붙은 정부기관발행 신분증, 본인이 아닌 경우에는 본 인의 인감증명서 또는 본인서명사실확인서 포함) 4. 기타 보험수익자가 보험금의 수령에 필요하여 제출하는 서류 제1항 제2호의 서류는 「의료법」 제3조(의료기관) 제2항(【부록】 참조)에서 규정한 국내의 병원, 의원 또는 국외의 의료관련법에서 정한 의료기관에서 발급한 것이어야 합니다. ",59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제7조(보험금의 지급절차),empty,"회사는 제6조(보험금의 청구)에서 정한 서류를 접수한 때에는 접수증을 드리고 휴대전화 문자메시지 또는 전자우편 등으로도 송부하며, 그 서류를 접수한 날부터 질병·상해에 관한 보험금은 3영업일, 배 상책임 손해에 대한 보험금은 지체없이 지급할 보험금을 결정하고 지급할 보험금이 결정되면 7일 이 내에 보험금을 지급합니다.  보험수익자와 회사가 제1항의 질병·상해에 관한 보험금 지급사유에 대해 합의에 도달하지 못할 때는 보험수익자와 회사가 함께 제3자를 정하고 그 제3자의 의견에 따를 수 있습니다. 이 때, 제3자는 「의 료법」 제3조(의료기관)(【부록】 참조)에 규정한 종합병원 소속 전문의 중에 정하며, 보험금 지급사유 판정에 필요한 의료비용은 회사가 전액 부담합니다. 회사는 제1항의 질병·상해에 관한 보험금 지급사유를 조사·확인하기 위해 필요한 기간이 제1항의 지 급기일을 초과할 것으로 명백히 예상되는 경우에는 그 구체적인 사유와 지급예정일 및 보험금 가지급 제도(회사가 추정하는 보험금의 50% 이내를 지급)에 대하여 피보험자 또는 보험수익자에게 즉시 통지 합니다. 다만, 지급예정일은 다음 중 어느 하나에 해당하는 경우를 제외하고는 제6조(보험금의 청구)에 서 정한 서류를 접수한 날부터 30영업일 이내에서 정합니다. 1. 소송제기 2. 분쟁조정 신청 3. 수사기관의 조사 4. 해외에서 발생한 보험사고에 대한 조사 5. 제7항에 따른 회사의 조사요청에 대한 동의 거부 등 계약자, 피보험자 또는 보험수익자의 책임있는 사유로 인하여 보험금 지급사유의 조사 및 확인이 지연되는 경우 6. 제2항에 따라 보험금 지급사유에 대해 제3자의 의견에 따르기로 한 경우 [분쟁조정 신청] 분쟁조정 신청은 약관의 「분쟁의 조정」 조항에 따르며 분쟁조정 신청 대상기관은 금융감독원의 금융 분재조정위원회를 말합니다. 제3항에 따라 보험금 지급사유의 판정 및 지급할 보험금의 결정과 관련하여 확정된 보험금 지급사유 에 따른 보험금을 초과한 부분에 대한 분쟁으로 보험금 지급이 지연되는 경우에는 보험수익자의 청구 에 따라 이미 확정된 보험금을 먼저 가지급합니다. 제3항에 따라 추가적인 조사가 이루어지는 경우(제1항의 배상책임 손해에 대한 보험금이 결정되기 전 의 경우를 포함합니다), 회사는 보험수익자의 청구에 따라 회사가 추정하는 보험금의 50% 상당액을 가지급보험금으로 지급합니다. [가지급보험금] 보험금이 지급기한 내에 지급되지 못할 것으로 판단되는 경우 회사가 예상되는 보험금의 일부를 먼저 지급하는 제도로 보험수익자가 필요로 하는 비용을 보전해 주기 위해 회사가 먼저 지급하는 임시 교부 금을 말합니다. 회사는 제1항에 정한 지급기일내에 보험금을 지급하지 않았을 때(제3항에 정한 지급예정일을 통지한 경우를 포함합니다)에는 그 다음날부터 지급일까지의 기간에 대하여 “보험금을 지급할 때의 적립이율 계산”(【별표2】 참조)에서 정한 이율로 계산한 이자를 보험금에 더하여 지급합니다. 그러나 계약자, 피 보험자 또는 보험수익자의 책임있는 사유로 지급이 지연된 때에는 그 해당기간에 대한 이자를 지급하 지 않습니다. 다만, 회사는 계약자 등이 분쟁조정을 신청했다는 사유만으로 이자지급을 거절하지 않습 니다. 계약자, 피보험자 또는 보험수익자는 제13조(알릴 의무 위반의 효과) 및 제3항의 보험금 지급사유 조 사와 관련하여 의료기관, 국민건강보험공단, 경찰서 등 관공서에 대한 회사의 서면에 의한 조사요청에 동의하여야 합니다. 다만, 정당한 사유없이 이에 동의하지 않을 경우 사실 확인이 끝날 때까지 회사는 보험금 지급지연에 따른 이자를 지급하지 않습니다. 회사는 제7항의 서면조사에 대한 동의 요청시 조사목적, 사용처 등을 명시하고 설명합니다.",59
direct_woman3.0_03,보통약관,제2관. 보험금의 지급,제8조(보험금을 받는 방법의 변경),empty,"계약자(보험금 지급사유 발생 후에는 보험수익자)는 회사의 「사업방법서」에서 정한 바에 따라 보험금 의 전부 또는 일부에 대하여 나누어 지급받거나 일시에 지급받는 방법으로 변경할 수 있습니다. 회사는 제1항에 따라 일시에 지급할 금액을 나누어 지급하는 경우에는 그 나중에 지급할 금액에 대하 여 평균공시이율을 연단위 복리로 계산한 금액을 더하며, 나누어 지급할 금액을 일시에 지급하는 경우 에는 평균공시이율을 연단위 복리로 할인한 금액을 지급합니다. ",60
